journal_name,issn,eissn
AMERICAN JOURNAL OF PREVENTIVE MEDICINE,0749-3797,1873-2607
NEUROIMAGE,1053-8119,1095-9572
BJS Open,2474-9842,2474-9842
BMC BIOLOGY,,1741-7007
PROCEEDINGS OF THE NUTRITION SOCIETY,0029-6651,1475-2719
Asia-Pacific Journal of Ophthalmology,,2162-0989
European Urology Open Science,2666-1691,2666-1683
Insights into Imaging,1869-4101,1869-4101
One Health,,2352-7714
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,0002-8614,1532-5415
Brain Communications,,2632-1297
MOLECULAR PHARMACEUTICS,1543-8384,1543-8392
Current Plant Biology,,2214-6628
PEDIATRIC ALLERGY AND IMMUNOLOGY,0905-6157,1399-3038
JOURNAL OF INFECTIOUS DISEASES,0022-1899,1537-6613
ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,0066-4804,1098-6596
BIOELECTROCHEMISTRY,1567-5394,1878-562X
PLANT CELL REPORTS,0721-7714,1432-203X
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,0271-678X,1559-7016
GENE THERAPY,0969-7128,1476-5462
International Braz J Urol,1677-5538,1677-6119
Journal of Eating Disorders,2050-2974,2050-2974
Algal Research-Biomass Biofuels and Bioproducts,2211-9264,2211-9264
BIPOLAR DISORDERS,1398-5647,1399-5618
Frontiers in Aging Neuroscience,1663-4365,1663-4365
Cell Reports Methods,2667-2375,2667-2375
Frontiers in Microbiology,,1664-302X
Food and Energy Security,2048-3694,2048-3694
Asian Journal of Psychiatry,1876-2018,1876-2026
CLINICS IN CHEST MEDICINE,0272-5231,1557-8216
Artificial Cells Nanomedicine and Biotechnology,2169-1401,2169-141X
Brain Informatics,2198-4018,2198-4026
GENES AND IMMUNITY,1466-4879,1476-5470
mLife,2097-1699,2770-100X
MITOCHONDRION,1567-7249,1872-8278
Pharmaceutical Medicine,1178-2595,1179-1993
JBI Evidence Synthesis,,2689-8381
NUTRITION RESEARCH REVIEWS,0954-4224,1475-2700
PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,0079-6107,1873-1732
REVIEWS ON ENVIRONMENTAL HEALTH,0048-7554,2191-0308
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,0009-921X,1528-1132
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,0022-5223,1097-685X
Knee Surgery & Related Research,,2234-2451
Animal Microbiome,,2524-4671
MEDICAL TEACHER,0142-159X,1466-187X
INTERNATIONAL JOURNAL OF DRUG POLICY,0955-3959,1873-4758
INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,1438-4639,1618-131X
JOURNAL OF SAFETY RESEARCH,0022-4375,1879-1247
EPIDEMIOLOGY,1044-3983,1531-5487
JOURNAL OF PHYSIOLOGY-LONDON,0022-3751,1469-7793
BJU INTERNATIONAL,1464-4096,1464-410X
Plant Methods,,1746-4811
RHEUMATOLOGY,1462-0324,1462-0332
SEMINARS IN ARTHRITIS AND RHEUMATISM,0049-0172,1532-866X
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",,2352-8729
HEART,1355-6037,1468-201X
BIOLOGICAL CONSERVATION,0006-3207,1873-2917
Antimicrobial Resistance and Infection Control,2047-2994,2047-2994
JOURNAL OF PLANT GROWTH REGULATION,0721-7595,1435-8107
Clinical Epigenetics,1868-7075,1868-7083
IEEE TRANSACTIONS ON NANOBIOSCIENCE,1536-1241,1558-2639
Transplantation and Cellular Therapy,2666-6375,2666-6367
Water Biology and Security,2097-4132,2772-7351
LUNG CANCER,0169-5002,1872-8332
Mycology-An International Journal On Fungal Biology,2150-1203,2150-1211
Journal of Xenobiotics,2039-4705,2039-4713
Probiotics and Antimicrobial Proteins,1867-1306,1867-1314
BMJ Health & Care Informatics,,2632-1009
European Heart Journal - Digital Health,,2634-3916
Annals of Hepatology,1665-2681,1665-2681
Synthetic and Systems Biotechnology,2405-805X,2405-805X
Molecular Diagnosis & Therapy,1177-1062,1179-2000
Current HIV/AIDS Reports,1548-3568,1548-3576
Frontiers in Genome Editing,,2673-3439
Hepatobiliary & Pancreatic Diseases International,1499-3872,2352-9377
MAMMAL REVIEW,,1365-2907
PLANT DISEASE,0191-2917,1943-7692
EXPERT OPINION ON THERAPEUTIC TARGETS,1472-8222,1744-7631
CURRENT OPINION IN NEUROLOGY,1350-7540,1473-6551
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,1552-4868,1552-4876
Medical Sciences,,2076-3271
EXCEPTIONAL CHILDREN,0014-4029,2163-5560
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,0021-9355,1535-1386
Journal of NeuroInterventional Surgery,1759-8478,1759-8486
PRIMARY CARE,0095-4543,1558-299X
BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,1470-0328,1471-0528
International Journal of Sports Physiology and Performance,1555-0265,1555-0273
Family Medicine and Community Health,2305-6983,2009-8774
AQUATIC TOXICOLOGY,0166-445X,1879-1514
EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,0939-6411,1873-3441
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,0012-1622,1469-8749
Arthroplasty,,2524-7948
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,1201-9712,1878-3511
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,1532-0456,1878-1659
Human Resources for Health,,1478-4491
INTERNATIONAL PSYCHOGERIATRICS,1041-6102,1741-203X
DM DISEASE-A-MONTH,0011-5029,1557-8194
SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH,0355-3140,1795-990X
INTERNATIONAL JOURNAL OF EATING DISORDERS,0276-3478,1098-108X
MOLECULAR NEUROBIOLOGY,0893-7648,1559-1182
ECOLOGY,0012-9658,1939-9170
METHODS,1046-2023,1095-9130
ANNALS OF MEDICINE,0785-3890,1365-2060
Soil Ecology Letters,2662-2289,2662-2297
Journal of Cannabis Research,,2522-5782
THROMBOSIS AND HAEMOSTASIS,0340-6245,2567-689X
Acupuncture and Herbal Medicine,2097-0226,2765-8619
ECOLOGICAL APPLICATIONS,1051-0761,1939-5582
Human Genomics,1473-9542,1479-7364
Journal of Global Health,2047-2978,2047-2986
Translational Stroke Research,1868-4483,1868-601X
STRUCTURE,0969-2126,1878-4186
Remote Sensing in Ecology and Conservation,,2056-3485
Cognitive Computation,1866-9956,1866-9964
BIOLOGICAL PROCEDURES ONLINE,,1480-9222
INFLAMMATORY BOWEL DISEASES,1078-0998,1536-4844
JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,1138-7548,1877-8755
CURRENT OPINION IN RHEUMATOLOGY,1040-8711,1531-6963
HELICOBACTER,1083-4389,1523-5378
EUROPEAN JOURNAL OF NUTRITION,1436-6207,1436-6215
EXPERIMENTAL GERONTOLOGY,0531-5565,1873-6815
JOINT BONE SPINE,1297-319X,1778-7254
Innovation in Aging,,2399-5300
JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES,,1482-1826
ADMET and DMPK,1848-7718,1848-7718
MUTAGENESIS,0267-8357,1464-3804
JOURNAL OF GENERAL VIROLOGY,0022-1317,1465-2099
Bioresource Technology Reports,2589-014X,2589-014X
Frontiers in Cell and Developmental Biology,2296-634X,2296-634X
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,0175-7598,1432-0614
PHARMACEUTICAL RESEARCH,0724-8741,1573-904X
INDOOR AIR,0905-6947,1600-0668
JOURNAL OF LIPOSOME RESEARCH,0898-2104,1532-2394
Frontiers in Aging,,2673-6217
AMERICAN JOURNAL OF SURGICAL PATHOLOGY,0147-5185,1532-0979
AMERICAN JOURNAL OF OPHTHALMOLOGY,0002-9394,1879-1891
NURSE EDUCATION TODAY,0260-6917,1532-2793
Animal,1751-7311,1751-732X
Journal of Neurologic Physical Therapy,1557-0576,1557-0584
MEDICAL CLINICS OF NORTH AMERICA,0025-7125,1557-9859
LABORATORY INVESTIGATION,0023-6837,1530-0307
Minerva Urology and Nephrology,2724-6051,2724-6442
JOURNAL OF GENERAL INTERNAL MEDICINE,0884-8734,1525-1497
Journal of Ovarian Research,,1757-2215
European Journal of Emergency Medicine,0969-9546,1473-5695
CURRENT OPINION IN PHARMACOLOGY,1471-4892,1471-4973
COMPREHENSIVE PSYCHIATRY,0010-440X,1532-8384
DIVERSITY AND DISTRIBUTIONS,1366-9516,1472-4642
THEORETICAL AND APPLIED GENETICS,0040-5752,1432-2242
Dermatology and Therapy,2193-8210,2190-9172
EXPERIMENTAL NEUROLOGY,0014-4886,1090-2430
Environmental Toxicology and Pharmacology,1382-6689,1872-7077
Radiology-Cardiothoracic Imaging,2638-6135,2638-6135
HEART FAILURE REVIEWS,1382-4147,1573-7322
Influenza and Other Respiratory Viruses,1750-2640,1750-2659
DRUG DEVELOPMENT RESEARCH,0272-4391,1098-2299
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,1383-5742,1388-2139
Zeitschrift fur Medizinische Physik,0939-3889,1876-4436
Australian Prescriber,0312-8008,1839-3942
JOURNAL OF MOLECULAR MEDICINE-JMM,0946-2716,1432-1440
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,0925-4439,1879-260X
FASEB JOURNAL,0892-6638,1530-6860
Lipids in Health and Disease,,1476-511X
Gastroenterology Report,2052-0034,2052-0034
Journal of Clinical and Translational Hepatology,2225-0719,2310-8819
MILBANK QUARTERLY,0887-378X,1468-0009
Women and Birth,1871-5192,1878-1799
JOURNAL OF PEST SCIENCE,1612-4758,1612-4766
BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY,1521-6934,1532-1932
Clinical Psychological Science,2167-7026,2167-7034
Journal of Esthetic and Restorative Dentistry,1496-4155,1708-8240
World Journal of Mens Health,2287-4208,2287-4690
INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,0891-5520,1557-9824
Gynecologic Oncology,0090-8258,1095-6859
HEALTH & PLACE,1353-8292,1873-2054
ULTRASONICS,0041-624X,1874-9968
DENTOMAXILLOFACIAL RADIOLOGY,0250-832X,1476-542X
International Journal for Equity in Health,,1475-9276
European Journal of Psychotraumatology,2000-8198,2000-8066
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
Head & Neck Pathology,1936-055X,1936-0568
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,1099-3460,1468-2869
Therapeutic Advances in Neurological Disorders,1756-2856,1756-2864
SEMINARS IN HEMATOLOGY,0037-1963,1532-8686
Schizophrenia,,2754-6993
BIOINORGANIC CHEMISTRY AND APPLICATIONS,1565-3633,1687-479X
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,,2214-7829
JMIR Serious Games,2291-9279,2291-9279
JOURNAL OF PLANT PHYSIOLOGY,0176-1617,1618-1328
PLANT AND SOIL,0032-079X,1573-5036
Plants-Basel,2223-7747,2223-7747
JOURNAL OF HYPERTENSION,0263-6352,1473-5598
Emerging Themes in Epidemiology,,1742-7622
Neuro-Oncology Advances,,2632-2498
TOXICOLOGICAL SCIENCES,1096-6080,1096-0929
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,1386-5056,1872-8243
HISTOPATHOLOGY,0309-0167,1365-2559
PLANT SCIENCE,0168-9452,1873-2259
Japanese Journal of Radiology,1867-1071,1867-108X
EXPERT OPINION ON INVESTIGATIONAL DRUGS,1354-3784,1744-7658
XENOTRANSPLANTATION,0908-665X,1399-3089
CNS SPECTRUMS,1092-8529,2165-6509
REVIEWS IN THE NEUROSCIENCES,0334-1763,2191-0200
Toxics,,2305-6304
Therapeutic Advances in Musculoskeletal Disease,1759-720X,1759-7218
JOURNAL OF NEUROENDOCRINOLOGY,0953-8194,1365-2826
SEMINARS IN THROMBOSIS AND HEMOSTASIS,0094-6176,1098-9064
Advanced Pharmaceutical Bulletin,2228-5881,2251-7308
Clinics in Liver Disease,1089-3261,1557-8224
ECOLOGICAL ENGINEERING,0925-8574,1872-6992
International Journal of Tryptophan Research,1178-6469,1178-6469
Frontiers in Synaptic Neuroscience,1663-3563,1663-3563
Recent Patents on Anti-Cancer Drug Discovery,1574-8928,2212-3970
BIOMEDICAL AND ENVIRONMENTAL SCIENCES,0895-3988,2214-0190
PUBLIC HEALTH REVIEWS,,2107-6952
HLA,2059-2302,2059-2310
JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM,1470-3203,1752-8976
CLEVELAND CLINIC JOURNAL OF MEDICINE,0891-1150,1939-2869
CRITICAL REVIEWS IN TOXICOLOGY,1040-8444,1547-6898
Eye and Vision,,2326-0254
EFORT Open Reviews,2396-7544,2058-5241
Clinical Implant Dentistry and Related Research,1523-0899,1708-8208
JMIR Nursing,,2562-7600
Paediatric Respiratory Reviews,1526-0542,1526-0550
Nurse Education in Practice,1471-5953,1873-5223
Pesticide Biochemistry and Physiology,0048-3575,1095-9939
Harm Reduction Journal,,1477-7517
JOURNAL OF ORAL REHABILITATION,0305-182X,1365-2842
Journal of Evidence-Based Dental Practice,1532-3382,1532-3390
JOURNAL OF DERMATOLOGICAL SCIENCE,0923-1811,1873-569X
Journal of Nursing Management,0966-0429,1365-2834
HEADACHE,0017-8748,1526-4610
JOURNAL OF SUBSTANCE ABUSE TREATMENT,0740-5472,1873-6483
International Journal of Neonatal Screening,,2409-515X
ANTIVIRAL RESEARCH,0166-3542,1872-9096
International Journal of Implant Dentistry,,2198-4034
Virus Evolution,,2057-1577
Journal of Infection and Public Health,1876-0341,1876-035X
Journal of Integrative Medicine-JIM,2095-4964,2095-4964
CELL CALCIUM,0143-4160,1532-1991
JOURNAL OF PAIN,1526-5900,1528-8447
DRUG METABOLISM AND DISPOSITION,0090-9556,1521-009X
Microbial Genomics,2057-5858,2057-5858
Journal of Neurodevelopmental Disorders,1866-1947,1866-1955
Journal of Fungi,,2309-608X
CRISPR Journal,2573-1599,2573-1602
JOURNAL OF CHROMATOGRAPHY A,0021-9673,1873-3778
MICROBIAL ECOLOGY,0095-3628,1432-184X
CLINICAL PHARMACOKINETICS,0312-5963,1179-1926
ERJ Open Research,,2312-0541
AAPS PHARMSCITECH,1530-9932,1530-9932
Best Practice & Research Clinical Gastroenterology,1521-6918,1532-1916
Interface Focus,2042-8898,2042-8901
Gut Pathogens,1757-4749,1757-4749
HEALTH TECHNOLOGY ASSESSMENT,1366-5278,2046-4924
VIROLOGICA SINICA,1674-0769,1995-820X
Accountability in Research-Ethics Integrity and Policy,0898-9621,1545-5815
NEUROEPIDEMIOLOGY,0251-5350,1423-0208
JOURNAL OF CELLULAR PHYSIOLOGY,0021-9541,1097-4652
HUMAN GENE THERAPY,1043-0342,1557-7422
ADVANCES IN THERAPY,0741-238X,1865-8652
JOURNAL OF NEURAL TRANSMISSION,0300-9564,1435-1463
Toxins,,2072-6651
PLANT AND CELL PHYSIOLOGY,0032-0781,1471-9053
Therapeutic Advances in Psychopharmacology,2045-1253,2045-1261
Current Opinion in HIV and AIDS,1746-630X,1746-6318
CURRENT OPINION IN INFECTIOUS DISEASES,0951-7375,1473-6527
REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,1130-0108,2340-4167
BMC NURSING,1472-6955,1472-6955
MEDICINE & SCIENCE IN SPORTS & EXERCISE,0195-9131,1530-0315
Journal of Psychopathology and Clinical Science,2769-7541,2769-755X
JOR Spine,2572-1143,2572-1143
FISH & SHELLFISH IMMUNOLOGY,1050-4648,1095-9947
Perspectives on Medical Education,2212-2761,2212-277X
Annals of Laboratory Medicine,2234-3806,2234-3814
Journal of Occupational Health Psychology,1076-8998,1939-1307
Aesthetic Surgery Journal,1090-820X,1527-330X
NEUROSURGERY,0148-396X,1524-4040
ANNALS OF THORACIC SURGERY,0003-4975,1552-6259
AQUACULTURE,0044-8486,1873-5622
Current Reviews in Musculoskeletal Medicine,1935-973X,1935-9748
Current Rheumatology Reports,1523-3774,1534-6307
PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,0278-5846,1878-4216
Journal of the International Society of Sports Nutrition,,1550-2783
Dental and Medical Problems,1644-387X,2300-9020
JMIR Public Health and Surveillance,2369-2960,2369-2960
LAB ANIMAL,0093-7355,1548-4475
ACADEMIC RADIOLOGY,1076-6332,1878-4046
LIVER TRANSPLANTATION,1527-6465,1527-6473
Annals of Clinical and Translational Neurology,2328-9503,2328-9503
EUROPEAN JOURNAL OF NEUROLOGY,1351-5101,1468-1331
JOURNAL OF DERMATOLOGICAL TREATMENT,0954-6634,1471-1753
PSYCHIATRY RESEARCH,0165-1781,1872-7123
European Journal of Cardiovascular Nursing,1474-5151,1873-1953
Interdisciplinary Sciences-Computational Life Sciences,1913-2751,1867-1462
LUNG,0341-2040,1432-1750
Preventing Chronic Disease,1545-1151,1545-1151
Biogeosciences,1726-4170,1726-4189
Movement Ecology,2051-3933,2051-3933
ORAL ONCOLOGY,1368-8375,1879-0593
MOLECULAR ECOLOGY,0962-1083,1365-294X
ACS Synthetic Biology,2161-5063,
PALLIATIVE MEDICINE,0269-2163,1477-030X
Journal of Plant Ecology,1752-9921,1752-993X
NEUROTOXICOLOGY,0161-813X,1872-9711
Current Epidemiology Reports,,2196-2995
Ecological Processes,,2192-1709
HEREDITY,0018-067X,1365-2540
JOURNAL OF SLEEP RESEARCH,0962-1105,1365-2869
JOURNAL OF DRUG TARGETING,1061-186X,1029-2330
EUROPEAN JOURNAL OF PUBLIC HEALTH,1101-1262,1464-360X
CLINICAL MEDICINE,1470-2118,1473-4893
Systematic Reviews,,2046-4053
BIOCONJUGATE CHEMISTRY,1043-1802,1520-4812
JOURNAL OF CUTANEOUS MEDICINE AND SURGERY,1203-4754,1615-7109
PLANT GROWTH REGULATION,0167-6903,1573-5087
Biomedicines,,2227-9059
Frontiers in Bioinformatics,,2673-7647
NEUROSCIENTIST,1073-8584,1089-4098
PROTEOMICS,1615-9853,1615-9861
YALE JOURNAL OF BIOLOGY AND MEDICINE,0044-0086,1551-4056
HEMATOLOGICAL ONCOLOGY,0278-0232,1099-1069
JOURNAL OF PERIODONTOLOGY,0022-3492,1943-3670
ANESTHESIA AND ANALGESIA,0003-2999,1526-7598
JOURNAL OF ARTHROPLASTY,0883-5403,1532-8406
WILDLIFE MONOGRAPHS,0084-0173,1938-5455
Surgery for Obesity and Related Diseases,1550-7289,1878-7533
JBJS Open Access,,2472-7245
Worldviews on Evidence-Based Nursing,1545-102X,1741-6787
PEST MANAGEMENT SCIENCE,1526-498X,1526-4998
SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,0905-7188,1600-0838
Neuroethics,1874-5490,1874-5504
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,1079-5006,1758-535X
APPETITE,0195-6663,1095-8304
BEHAVIOR THERAPY,0005-7894,1878-1888
JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,1610-0379,1610-0387
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,1064-7481,1545-7214
Journal of Healthcare Leadership,1179-3201,1179-3201
BMC Geriatrics,,1471-2318
JOURNAL OF DIGITAL IMAGING,0897-1889,1618-727X
Function,,2633-8823
ACS Infectious Diseases,2373-8227,
GeoHealth,2471-1403,2471-1403
Plant Genome,,1940-3372
Acta Crystallographica Section D-Structural Biology,2059-7983,2059-7983
Kidney Research and Clinical Practice,2211-9132,2211-9140
JOURNAL OF NEUROTRAUMA,0897-7151,1557-9042
DRUG SAFETY,0114-5916,1179-1942
AIDS PATIENT CARE AND STDS,1087-2914,1557-7449
EPIDEMIOLOGIC REVIEWS,0193-936X,1478-6729
MYCORRHIZA,0940-6360,1432-1890
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,1618-2642,1618-2650
International Journal of Mental Health Systems,1752-4458,1752-4458
BRITISH JOURNAL OF HAEMATOLOGY,0007-1048,1365-2141
CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE,0706-7437,1497-0015
WORLD JOURNAL OF BIOLOGICAL PSYCHIATRY,1562-2975,1814-1412
Asian Journal of Surgery,1015-9584,0219-3108
Current Treatment Options in Infectious Diseases,,1534-6250
Environmental Epidemiology,,2474-7882
Frontiers in Digital Health,,2673-253X
RESPIRATION,0025-7931,1423-0356
PLANTA,0032-0935,1432-2048
PLANT MOLECULAR BIOLOGY,0167-4412,1573-5028
Internal and Emergency Medicine,1828-0447,1970-9366
GENETIC EPIDEMIOLOGY,0741-0395,1098-2272
Open Forum Infectious Diseases,2328-8957,2328-8957
Polish Heart Journal-Kardiologia Polska,0022-9032,1897-4279
Progress in Disaster Science,2590-0617,2590-0617
ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,0269-4042,1573-2983
Expert Review of Anti-Infective Therapy,1478-7210,1744-8336
Balkan Medical Journal,2146-3123,2146-3131
EXERCISE IMMUNOLOGY REVIEW,1077-5552,1077-5552
NURSING OUTLOOK,0029-6554,1528-3968
RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES,1540-7969,2169-2408
Contact Lens & Anterior Eye,1367-0484,1476-5411
INTERNATIONAL NURSING REVIEW,0020-8132,1466-7657
Integrative Zoology,1749-4877,1749-4869
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,0003-9993,1532-821X
JOURNAL OF ANIMAL ECOLOGY,0021-8790,1365-2656
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,1434-6621,1437-4331
NEUROREHABILITATION AND NEURAL REPAIR,1545-9683,1552-6844
Journal of Pathology Clinical Research,,2056-4538
INTERNATIONAL DENTAL JOURNAL,0020-6539,1875-595X
Current Problems in Pediatric and Adolescent Health Care,1538-5442,1538-3199
Journal of Orthopaedics and Traumatology,1590-9921,1590-9999
Journal of Healthcare Informatics Research,2509-4971,2509-498X
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,0143-005X,1470-2738
Performance Enhancement & Health,2211-2669,2211-2669
Biological Psychiatry: Global Open Science,2667-1743,2667-1743
DISEASES OF THE COLON & RECTUM,0012-3706,1530-0358
INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,0965-1748,1879-0240
Health Policy and Technology,2211-8837,
Journal of Trauma and Acute Care Surgery,2163-0755,2163-0763
LIMNOLOGY AND OCEANOGRAPHY,0024-3590,1939-5590
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,1461-1457,1469-5111
ACTA DERMATO-VENEREOLOGICA,0001-5555,1651-2057
Journal of Gynecologic Oncology,2005-0380,2005-0399
EXPERIMENTAL AND MOLECULAR PATHOLOGY,0014-4800,1096-0945
PERITONEAL DIALYSIS INTERNATIONAL,0896-8608,1718-4304
CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES,0846-5371,1488-2361
EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,0940-1334,1433-8491
Evolution Letters,,2056-3744
AMERICAN JOURNAL OF NEURORADIOLOGY,0195-6108,1936-959X
Journal of Ethnobiology and Ethnomedicine,,1746-4269
LANDSCAPE ECOLOGY,0921-2973,1572-9761
REPRODUCTION,1470-1626,1741-7899
Clinical Research in Cardiology,1861-0684,1861-0692
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,0004-8674,1440-1614
CIRCULATION JOURNAL,1346-9843,1347-4820
Cardiovascular Toxicology,1530-7905,1559-0259
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,1011-1344,1873-2682
GENERAL HOSPITAL PSYCHIATRY,0163-8343,1873-7714
ESC Heart Failure,2055-5822,2055-5822
Ecosystems and People,,2639-5916
Neurology-Genetics,2376-7839,2376-7839
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,0939-4753,1590-3729
PHOTOSYNTHESIS RESEARCH,0166-8595,1573-5079
Biophysical Reviews,1867-2450,1867-2469
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,0022-1465,2150-6000
JOURNAL OF ENDODONTICS,0099-2399,1878-3554
Archives of Disease in Childhood-Fetal and Neonatal Edition,1359-2998,1468-2052
AMERICAN JOURNAL OF PATHOLOGY,0002-9440,1525-2191
JOURNAL OF NEUROSURGERY,0022-3085,1933-0693
Journal of Prosthodontics-Implant Esthetic and Reconstructive Dentistry,1059-941X,1532-849X
JOURNAL OF VASCULAR SURGERY,0741-5214,1097-6809
ADDICTIVE BEHAVIORS,0306-4603,1873-6327
Neurospine,2586-6583,2586-6591
Artificial Intelligence Surgery,,2771-0408
JOURNAL OF HEALTH ECONOMICS,0167-6296,1879-1646
PHYSIOLOGIA PLANTARUM,0031-9317,1399-3054
DRUG AND ALCOHOL DEPENDENCE,0376-8716,1879-0046
BMC PUBLIC HEALTH,,1471-2458
BMC Psychiatry,,1471-244X
European Radiology Experimental,,2509-9280
Clinical and Experimental Pediatrics,,2713-4148
DEVELOPMENT,0950-1991,1477-9129
OBSTETRICAL & GYNECOLOGICAL SURVEY,0029-7828,1533-9866
ANNALS OF BOTANY,0305-7364,1095-8290
MATURITAS,0378-5122,1873-4111
NeuroImage-Clinical,2213-1582,2213-1582
PLoS Computational Biology,1553-734X,1553-7358
Journal of Applied Research on Medicinal and Aromatic Plants,,2214-7861
JOURNAL OF NATURAL PRODUCTS,0163-3864,1520-6025
MOLECULAR PHYLOGENETICS AND EVOLUTION,1055-7903,1095-9513
CLINICAL NEUROPHYSIOLOGY,1388-2457,1872-8952
Plants People Planet,,2572-2611
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,1473-7159,1744-8352
JOURNAL OF BIOGEOGRAPHY,0305-0270,1365-2699
Neurocritical Care,1541-6933,1556-0961
ANAIS BRASILEIROS DE DERMATOLOGIA,0365-0596,1806-4841
PSYCHONEUROENDOCRINOLOGY,0306-4530,1873-3360
EvoDevo,,2041-9139
Journal of Climate Change and Health,,2667-2782
PLANT BIOLOGY,1435-8603,1438-8677
Journal of Evidence-Based Integrative Medicine,2515-690X,2515-690X
Database-The Journal of Biological Databases and Curation,1758-0463,1758-0463
EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,0014-2972,1365-2362
Clinical Hypertension,,2056-5909
JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA,1083-3021,1573-7039
One Health Outlook,2524-4655,2524-4655
Plant Signaling & Behavior,1559-2316,1559-2324
PLANT FOODS FOR HUMAN NUTRITION,0921-9668,1573-9104
BRITISH JOURNAL OF OPHTHALMOLOGY,0007-1161,1468-2079
REGIONAL ANESTHESIA AND PAIN MEDICINE,1098-7339,1532-8651
JOURNAL OF PEDIATRICS,0022-3476,1097-6833
VETERINARY RESEARCH,0928-4249,1297-9716
AMERICAN FAMILY PHYSICIAN,0002-838X,1532-0650
IEEE Transactions on Radiation and Plasma Medical Sciences,2469-7311,2469-7303
Current Opinion in Behavioral Sciences,2352-1546,2352-1554
JOURNAL OF CLINICAL NURSING,0962-1067,1365-2702
Tropical Medicine and Health,1348-8945,1349-4147
JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,0002-8177,1943-4723
REPRODUCTIVE BIOMEDICINE ONLINE,1472-6483,1472-6491
Journal of Exercise Science & Fitness,1728-869X,1728-869X
PSYCHOLOGY AND AGING,0882-7974,1939-1498
Science and Medicine in Football,2473-3938,2473-4446
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,1040-0605,1522-1504
